,Address,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue,21th Most Common Venue,22th Most Common Venue,23th Most Common Venue,24th Most Common Venue,25th Most Common Venue
59,"Columbus, Georgia",Mexican Restaurant,BBQ Joint,Pizza Place,American Restaurant,Seafood Restaurant,Fast Food Restaurant,Japanese Restaurant,Italian Restaurant,Bakery,Fried Chicken Joint,Mediterranean Restaurant,Sushi Restaurant,Southern / Soul Food Restaurant,Korean Restaurant,Thai Restaurant,Deli / Bodega,Steakhouse,Breakfast Spot,Sandwich Place,Chinese Restaurant,Burger Joint,Cajun / Creole Restaurant,Diner,Donut Shop,Mongolian Restaurant
60,"Columbus, Ohio",Pizza Place,American Restaurant,Café,Gastropub,Taco Place,Mexican Restaurant,Italian Restaurant,Deli / Bodega,Diner,New American Restaurant,Fried Chicken Joint,Steakhouse,Mediterranean Restaurant,Bakery,Vegetarian / Vegan Restaurant,Latin American Restaurant,Sandwich Place,BBQ Joint,Breakfast Spot,German Restaurant,Japanese Restaurant,Hot Dog Joint,Donut Shop,Seafood Restaurant,Caribbean Restaurant
61,"Concord, California",Café,Pizza Place,Bakery,Mexican Restaurant,American Restaurant,Vietnamese Restaurant,Italian Restaurant,Burger Joint,Sushi Restaurant,New American Restaurant,Food Truck,Mediterranean Restaurant,Deli / Bodega,Sandwich Place,Breakfast Spot,Japanese Restaurant,Seafood Restaurant,Asian Restaurant,Thai Restaurant,Spanish Restaurant,Fried Chicken Joint,Latin American Restaurant,Fast Food Restaurant,Tapas Restaurant,Taco Place
62,"Coral Springs, Florida",Pizza Place,American Restaurant,Seafood Restaurant,Mexican Restaurant,Burger Joint,Sandwich Place,Italian Restaurant,Fast Food Restaurant,Sushi Restaurant,Steakhouse,New American Restaurant,Deli / Bodega,Diner,Breakfast Spot,Cuban Restaurant,Bakery,Middle Eastern Restaurant,Donut Shop,Mediterranean Restaurant,Lebanese Restaurant,Korean Restaurant,Peruvian Restaurant,Food Truck,Indian Restaurant,Gastropub
63,"Corona, California",Pizza Place,Mexican Restaurant,American Restaurant,Burger Joint,Steakhouse,Sandwich Place,Italian Restaurant,Bakery,Fast Food Restaurant,Vegetarian / Vegan Restaurant,BBQ Joint,Korean Restaurant,Gastropub,Asian Restaurant,Deli / Bodega,Café,Hot Dog Joint,Mediterranean Restaurant,Caribbean Restaurant,Cajun / Creole Restaurant,Greek Restaurant,Salad Place,Chinese Restaurant,Cuban Restaurant,Poke Place
64,"Corpus Christi, Texas",Seafood Restaurant,Mexican Restaurant,Pizza Place,American Restaurant,Burger Joint,Steakhouse,Deli / Bodega,Asian Restaurant,Vietnamese Restaurant,Café,BBQ Joint,Diner,Fast Food Restaurant,Sandwich Place,Taco Place,Bakery,Thai Restaurant,Japanese Restaurant,Middle Eastern Restaurant,Chinese Restaurant,New American Restaurant,Mediterranean Restaurant,Peruvian Restaurant,Korean Restaurant,Italian Restaurant
65,"Costa Mesa, California",American Restaurant,Seafood Restaurant,Mexican Restaurant,Sandwich Place,Pizza Place,Burger Joint,Bakery,Steakhouse,Café,Italian Restaurant,Fast Food Restaurant,Japanese Restaurant,Mediterranean Restaurant,Donut Shop,Vegetarian / Vegan Restaurant,Sushi Restaurant,Deli / Bodega,Korean Restaurant,Tapas Restaurant,New American Restaurant,French Restaurant,Snack Place,Asian Restaurant,Salad Place,Latin American Restaurant
66,"Dallas, Texas",New American Restaurant,American Restaurant,Steakhouse,Pizza Place,Burger Joint,Seafood Restaurant,Mexican Restaurant,Fast Food Restaurant,Taco Place,Italian Restaurant,BBQ Joint,Japanese Restaurant,Thai Restaurant,Tex-Mex Restaurant,Greek Restaurant,Fried Chicken Joint,Sushi Restaurant,Salad Place,Café,Vegetarian / Vegan Restaurant,Diner,Latin American Restaurant,Noodle House,Sandwich Place,Halal Restaurant
67,"Daly City, California",Bakery,Sushi Restaurant,Pizza Place,Café,New American Restaurant,Sandwich Place,Seafood Restaurant,Italian Restaurant,Burger Joint,Deli / Bodega,Food Truck,Breakfast Spot,Japanese Restaurant,Latin American Restaurant,South American Restaurant,Burmese Restaurant,Chinese Restaurant,Gastropub,Mexican Restaurant,American Restaurant,Souvlaki Shop,Burrito Place,Russian Restaurant,Ramen Restaurant,Korean Restaurant
68,"Davenport, Iowa",American Restaurant,Mexican Restaurant,Pizza Place,Fast Food Restaurant,Steakhouse,Sushi Restaurant,Breakfast Spot,Sandwich Place,Deli / Bodega,Bakery,Thai Restaurant,BBQ Joint,Italian Restaurant,Chinese Restaurant,Greek Restaurant,Asian Restaurant,Café,Burrito Place,Seafood Restaurant,New American Restaurant,Caribbean Restaurant,Noodle House,Gastropub,German Restaurant,Vietnamese Restaurant
69,"Davie, Florida",Italian Restaurant,Pizza Place,American Restaurant,Seafood Restaurant,Sandwich Place,Mexican Restaurant,Deli / Bodega,Sushi Restaurant,Fast Food Restaurant,Steakhouse,Donut Shop,Greek Restaurant,Chinese Restaurant,Japanese Restaurant,Mediterranean Restaurant,Burger Joint,New American Restaurant,Bakery,Vegetarian / Vegan Restaurant,Gastropub,Middle Eastern Restaurant,Food Truck,BBQ Joint,German Restaurant,Latin American Restaurant
70,"Dayton, Ohio",Pizza Place,Sandwich Place,American Restaurant,Chinese Restaurant,Mexican Restaurant,Seafood Restaurant,Burger Joint,Breakfast Spot,Hot Dog Joint,Italian Restaurant,Fast Food Restaurant,Steakhouse,Bakery,Café,Deli / Bodega,Thai Restaurant,Gastropub,Japanese Restaurant,Greek Restaurant,New American Restaurant,Middle Eastern Restaurant,Diner,Donut Shop,Mongolian Restaurant,Wings Joint
71,"Denton, Texas",Pizza Place,Mexican Restaurant,BBQ Joint,American Restaurant,Italian Restaurant,Steakhouse,Sushi Restaurant,Bakery,Breakfast Spot,Burger Joint,New American Restaurant,Fast Food Restaurant,Southern / Soul Food Restaurant,Seafood Restaurant,Taco Place,Fried Chicken Joint,Sandwich Place,Korean Restaurant,Greek Restaurant,Deli / Bodega,Vegetarian / Vegan Restaurant,Mediterranean Restaurant,Latin American Restaurant,Tapas Restaurant,Café
72,"Denver, Colorado",American Restaurant,Italian Restaurant,Sandwich Place,Breakfast Spot,Mexican Restaurant,Burger Joint,Pizza Place,New American Restaurant,Taco Place,Asian Restaurant,Steakhouse,Vegetarian / Vegan Restaurant,Sushi Restaurant,Gastropub,French Restaurant,Fast Food Restaurant,Mediterranean Restaurant,Cuban Restaurant,BBQ Joint,Hot Dog Joint,Comfort Food Restaurant,Food Court,Donut Shop,Chinese Restaurant,Cajun / Creole Restaurant
73,"Des Moines, Iowa",Italian Restaurant,Pizza Place,American Restaurant,Sushi Restaurant,Asian Restaurant,BBQ Joint,Café,Burger Joint,Taco Place,Steakhouse,New American Restaurant,Deli / Bodega,Chinese Restaurant,Vietnamese Restaurant,Breakfast Spot,Thai Restaurant,Donut Shop,Mexican Restaurant,Sandwich Place,Noodle House,Fast Food Restaurant,Greek Restaurant,Seafood Restaurant,Cuban Restaurant,Diner
74,"Detroit, Michigan",Pizza Place,Italian Restaurant,Diner,Bakery,American Restaurant,Mexican Restaurant,Sandwich Place,Burger Joint,Breakfast Spot,Middle Eastern Restaurant,Sushi Restaurant,Mediterranean Restaurant,Deli / Bodega,Café,Steakhouse,New American Restaurant,Bagel Shop,BBQ Joint,Thai Restaurant,Seafood Restaurant,Asian Restaurant,Donut Shop,Romanian Restaurant,Vegetarian / Vegan Restaurant,Salad Place
75,"Downey, California",Pizza Place,Sandwich Place,Bakery,Italian Restaurant,Mexican Restaurant,Taco Place,Korean Restaurant,Mediterranean Restaurant,Deli / Bodega,Sushi Restaurant,Fast Food Restaurant,Burger Joint,Asian Restaurant,American Restaurant,Café,Fried Chicken Joint,Seafood Restaurant,Steakhouse,Food Court,New American Restaurant,Japanese Restaurant,Cuban Restaurant,Falafel Restaurant,Filipino Restaurant,Latin American Restaurant
76,"Durham, North Carolina",Sandwich Place,Breakfast Spot,Burger Joint,Pizza Place,Mexican Restaurant,American Restaurant,Fast Food Restaurant,Bakery,Gastropub,Mediterranean Restaurant,Café,Italian Restaurant,Donut Shop,Asian Restaurant,French Restaurant,Sushi Restaurant,Steakhouse,Seafood Restaurant,BBQ Joint,Peruvian Restaurant,Tapas Restaurant,Venezuelan Restaurant,Arepa Restaurant,Vegetarian / Vegan Restaurant,Deli / Bodega
77,"Edison, New Jersey",Pizza Place,Bakery,Italian Restaurant,Sandwich Place,Sushi Restaurant,Café,Thai Restaurant,American Restaurant,Caribbean Restaurant,Donut Shop,Seafood Restaurant,Food Court,Japanese Restaurant,Mexican Restaurant,French Restaurant,Latin American Restaurant,Salad Place,Colombian Restaurant,New American Restaurant,Noodle House,Portuguese Restaurant,Eastern European Restaurant,Deli / Bodega,Mediterranean Restaurant,Diner
78,"El Cajon, California",Mexican Restaurant,American Restaurant,Pizza Place,Seafood Restaurant,Sandwich Place,Sushi Restaurant,Italian Restaurant,Burger Joint,Taco Place,Breakfast Spot,BBQ Joint,Thai Restaurant,Steakhouse,Deli / Bodega,Vegetarian / Vegan Restaurant,Japanese Restaurant,New American Restaurant,Greek Restaurant,Mediterranean Restaurant,Chinese Restaurant,Cajun / Creole Restaurant,Middle Eastern Restaurant,Poke Place,Donut Shop,Fish & Chips Shop
79,"El Monte, California",Pizza Place,Sandwich Place,Bakery,Mexican Restaurant,Korean Restaurant,Taco Place,Italian Restaurant,Café,Sushi Restaurant,Fast Food Restaurant,Deli / Bodega,Burger Joint,American Restaurant,Asian Restaurant,Mediterranean Restaurant,Donut Shop,Breakfast Spot,Japanese Restaurant,New American Restaurant,Fried Chicken Joint,Food Court,Middle Eastern Restaurant,Latin American Restaurant,Filipino Restaurant,Cuban Restaurant
80,"El Paso, Texas",Mexican Restaurant,Burger Joint,Pizza Place,Café,BBQ Joint,Sushi Restaurant,Seafood Restaurant,Taco Place,American Restaurant,Fast Food Restaurant,Bakery,Italian Restaurant,Burrito Place,Steakhouse,Japanese Restaurant,Breakfast Spot,Deli / Bodega,Spanish Restaurant,Fried Chicken Joint,Diner,Chinese Restaurant,Sandwich Place,Food Truck,Donut Shop,Wings Joint
81,"Elgin, Illinois",Hot Dog Joint,Breakfast Spot,Pizza Place,Mexican Restaurant,American Restaurant,Italian Restaurant,Fast Food Restaurant,Sandwich Place,Seafood Restaurant,Japanese Restaurant,Donut Shop,Deli / Bodega,Snack Place,Sushi Restaurant,Steakhouse,Bakery,Asian Restaurant,French Restaurant,Café,New American Restaurant,Dim Sum Restaurant,Noodle House,Chinese Restaurant,Diner,German Restaurant
82,"Elizabeth, New Jersey",Bakery,Italian Restaurant,Pizza Place,Café,Sandwich Place,Sushi Restaurant,Seafood Restaurant,Mexican Restaurant,American Restaurant,Food Court,Chinese Restaurant,Deli / Bodega,Bagel Shop,Thai Restaurant,Mediterranean Restaurant,Asian Restaurant,New American Restaurant,Japanese Restaurant,Falafel Restaurant,Donut Shop,Eastern European Restaurant,Cuban Restaurant,Portuguese Restaurant,Colombian Restaurant,Salad Place
83,"Elk Grove, California",Mexican Restaurant,American Restaurant,Bakery,Pizza Place,Sandwich Place,Burger Joint,New American Restaurant,Sushi Restaurant,French Restaurant,Steakhouse,Japanese Restaurant,Fast Food Restaurant,Chinese Restaurant,Diner,Café,Thai Restaurant,Korean Restaurant,Italian Restaurant,Vietnamese Restaurant,Breakfast Spot,Wings Joint,Donut Shop,Deli / Bodega,Ethiopian Restaurant,Fried Chicken Joint
84,"Escondido, California",Pizza Place,Seafood Restaurant,American Restaurant,Sandwich Place,Breakfast Spot,Burger Joint,Bakery,Sushi Restaurant,Mexican Restaurant,Italian Restaurant,Taco Place,Gastropub,Mediterranean Restaurant,Japanese Restaurant,Deli / Bodega,Steakhouse,New American Restaurant,BBQ Joint,Thai Restaurant,Bistro,Noodle House,Dumpling Restaurant,Vegetarian / Vegan Restaurant,Poke Place,Fried Chicken Joint
85,"Eugene, Oregon",Pizza Place,Mexican Restaurant,Breakfast Spot,Vegetarian / Vegan Restaurant,Sushi Restaurant,Thai Restaurant,Sandwich Place,Diner,Bakery,American Restaurant,Burger Joint,Café,Chinese Restaurant,Japanese Restaurant,Burrito Place,Italian Restaurant,Wings Joint,BBQ Joint,Fast Food Restaurant,French Restaurant,Greek Restaurant,Hawaiian Restaurant,Vietnamese Restaurant,Donut Shop,Bagel Shop
86,"Evansville, Indiana",Pizza Place,Mexican Restaurant,Fast Food Restaurant,Chinese Restaurant,American Restaurant,Italian Restaurant,Sandwich Place,Bakery,Burger Joint,Sushi Restaurant,Mediterranean Restaurant,Steakhouse,Thai Restaurant,BBQ Joint,Seafood Restaurant,Deli / Bodega,Donut Shop,Soup Place,Café,Wings Joint,Mongolian Restaurant,Fried Chicken Joint,Gastropub,German Restaurant,New American Restaurant
87,"Everett, Washington",Pizza Place,American Restaurant,Mexican Restaurant,Thai Restaurant,Burger Joint,Seafood Restaurant,Bakery,Italian Restaurant,Japanese Restaurant,Sandwich Place,Café,Donut Shop,Caribbean Restaurant,Korean Restaurant,Mediterranean Restaurant,Chinese Restaurant,Steakhouse,Taco Place,Food Truck,French Restaurant,Tapas Restaurant,Fast Food Restaurant,Dumpling Restaurant,Deli / Bodega,Creperie
88,"Fairfield, California",Mexican Restaurant,Italian Restaurant,American Restaurant,Burger Joint,Pizza Place,Fast Food Restaurant,Café,French Restaurant,New American Restaurant,Breakfast Spot,Steakhouse,Diner,Asian Restaurant,Bakery,Donut Shop,Seafood Restaurant,Sushi Restaurant,Gastropub,Peruvian Restaurant,Chinese Restaurant,Food Truck,Cajun / Creole Restaurant,Creperie,Sandwich Place,Japanese Restaurant
89,"Fargo, North Dakota",Pizza Place,Sandwich Place,Mexican Restaurant,Burger Joint,American Restaurant,Taco Place,Indian Restaurant,Diner,Bakery,Italian Restaurant,Fast Food Restaurant,Steakhouse,Sushi Restaurant,Wings Joint,Asian Restaurant,Donut Shop,Bagel Shop,BBQ Joint,Mediterranean Restaurant,Seafood Restaurant,Chinese Restaurant,Deli / Bodega,Cajun / Creole Restaurant,Gastropub,German Restaurant
90,"Fayetteville, North Carolina",Sandwich Place,Japanese Restaurant,Burger Joint,Pizza Place,Fast Food Restaurant,American Restaurant,Mexican Restaurant,Seafood Restaurant,Italian Restaurant,Café,Deli / Bodega,Fried Chicken Joint,Bakery,Diner,Donut Shop,BBQ Joint,Steakhouse,Vietnamese Restaurant,Asian Restaurant,Noodle House,Mediterranean Restaurant,Greek Restaurant,Hot Dog Joint,German Restaurant,Cuban Restaurant
91,"Fontana, California",Mexican Restaurant,American Restaurant,Burger Joint,Sandwich Place,Thai Restaurant,Pizza Place,Fast Food Restaurant,Italian Restaurant,Bakery,Gastropub,Café,Breakfast Spot,Sushi Restaurant,Mediterranean Restaurant,Deli / Bodega,Hot Dog Joint,Indian Restaurant,Steakhouse,Asian Restaurant,Chinese Restaurant,Korean Restaurant,Taco Place,Caribbean Restaurant,Donut Shop,Greek Restaurant
92,"Fort Collins, Colorado",Mexican Restaurant,American Restaurant,Pizza Place,Sandwich Place,Breakfast Spot,New American Restaurant,Burger Joint,Vietnamese Restaurant,Chinese Restaurant,Café,Bagel Shop,Steakhouse,Mediterranean Restaurant,Donut Shop,Deli / Bodega,Fried Chicken Joint,Sushi Restaurant,Noodle House,Thai Restaurant,Asian Restaurant,Cajun / Creole Restaurant,Greek Restaurant,Food Truck,Vegetarian / Vegan Restaurant,Italian Restaurant
93,"Fort Lauderdale, Florida",American Restaurant,Pizza Place,Seafood Restaurant,Mexican Restaurant,Deli / Bodega,Italian Restaurant,Sandwich Place,Steakhouse,Sushi Restaurant,Burger Joint,New American Restaurant,Fast Food Restaurant,Donut Shop,Bakery,Gastropub,Chinese Restaurant,Vegetarian / Vegan Restaurant,Middle Eastern Restaurant,Peruvian Restaurant,Diner,Mediterranean Restaurant,Latin American Restaurant,Japanese Restaurant,Café,Greek Restaurant
94,"Fort Wayne, Indiana",Mexican Restaurant,Italian Restaurant,American Restaurant,Pizza Place,Steakhouse,Sandwich Place,Bakery,Fast Food Restaurant,Chinese Restaurant,Greek Restaurant,Japanese Restaurant,Breakfast Spot,BBQ Joint,Vietnamese Restaurant,Hot Dog Joint,Sushi Restaurant,Food Truck,Seafood Restaurant,Gastropub,Diner,Thai Restaurant,Burger Joint,Asian Restaurant,Grilled Meat Restaurant,Deli / Bodega
95,"Fort Worth, Texas",Mexican Restaurant,Burger Joint,American Restaurant,Pizza Place,Sandwich Place,Steakhouse,Sushi Restaurant,Taco Place,Seafood Restaurant,Donut Shop,Fast Food Restaurant,Diner,Breakfast Spot,Fried Chicken Joint,New American Restaurant,Bakery,Deli / Bodega,Mediterranean Restaurant,Italian Restaurant,Indian Restaurant,Cajun / Creole Restaurant,Greek Restaurant,Vegetarian / Vegan Restaurant,Asian Restaurant,Latin American Restaurant
96,"Fremont, California",Sandwich Place,Pizza Place,American Restaurant,Japanese Restaurant,Fast Food Restaurant,Café,Mexican Restaurant,Burger Joint,Breakfast Spot,Bakery,Greek Restaurant,Israeli Restaurant,Vietnamese Restaurant,Vegetarian / Vegan Restaurant,Hunan Restaurant,Falafel Restaurant,Korean Restaurant,Deli / Bodega,Seafood Restaurant,Middle Eastern Restaurant,Donut Shop,Caribbean Restaurant,Ramen Restaurant,German Restaurant,Italian Restaurant
97,"Fresno, California",Mexican Restaurant,Burger Joint,American Restaurant,Steakhouse,Italian Restaurant,Japanese Restaurant,Sushi Restaurant,Bakery,BBQ Joint,Chinese Restaurant,Breakfast Spot,Mediterranean Restaurant,Thai Restaurant,Diner,Pizza Place,Fast Food Restaurant,Sandwich Place,Seafood Restaurant,Deli / Bodega,Salad Place,Café,Wings Joint,Noodle House,Bagel Shop,Asian Restaurant
98,"Frisco, Texas",BBQ Joint,Pizza Place,Mexican Restaurant,Steakhouse,Sushi Restaurant,Burger Joint,American Restaurant,Taco Place,Italian Restaurant,Southern / Soul Food Restaurant,Breakfast Spot,Seafood Restaurant,Fast Food Restaurant,Café,Greek Restaurant,New American Restaurant,Bakery,Japanese Restaurant,Thai Restaurant,Chinese Restaurant,Food Court,Vegetarian / Vegan Restaurant,Mediterranean Restaurant,Brazilian Restaurant,Bistro
99,"Fullerton, California",Pizza Place,Bakery,Italian Restaurant,American Restaurant,Mexican Restaurant,Seafood Restaurant,Sandwich Place,Taco Place,Burger Joint,Fast Food Restaurant,Sushi Restaurant,Steakhouse,Café,Donut Shop,Food Court,Japanese Restaurant,Breakfast Spot,Vegetarian / Vegan Restaurant,Korean Restaurant,Deli / Bodega,Mediterranean Restaurant,Filipino Restaurant,Falafel Restaurant,Salad Place,Latin American Restaurant
100,"Gainesville, Florida",Mexican Restaurant,American Restaurant,Pizza Place,BBQ Joint,Italian Restaurant,Breakfast Spot,Sushi Restaurant,Burger Joint,Latin American Restaurant,Seafood Restaurant,Steakhouse,Donut Shop,Deli / Bodega,Caribbean Restaurant,Sandwich Place,Korean Restaurant,Wings Joint,Asian Restaurant,Gastropub,Bakery,Chinese Restaurant,New American Restaurant,Noodle House,Southern / Soul Food Restaurant,Japanese Restaurant
101,"Garden Grove, California",American Restaurant,Mexican Restaurant,Seafood Restaurant,Italian Restaurant,Pizza Place,Bakery,Burger Joint,Mediterranean Restaurant,Sandwich Place,Vegetarian / Vegan Restaurant,Fast Food Restaurant,Steakhouse,Sushi Restaurant,Donut Shop,Deli / Bodega,Korean Restaurant,Cuban Restaurant,New American Restaurant,Salad Place,Japanese Restaurant,Breakfast Spot,German Restaurant,Vietnamese Restaurant,Food Court,Café
102,"Garland, Texas",American Restaurant,Pizza Place,Seafood Restaurant,New American Restaurant,Burger Joint,Mexican Restaurant,Italian Restaurant,Greek Restaurant,Fast Food Restaurant,BBQ Joint,Steakhouse,Taco Place,Sushi Restaurant,Café,Southern / Soul Food Restaurant,Japanese Restaurant,Tex-Mex Restaurant,Fried Chicken Joint,Diner,Thai Restaurant,Noodle House,Mediterranean Restaurant,Salad Place,Latin American Restaurant,Asian Restaurant
103,"Gilbert, Arizona",Pizza Place,Sandwich Place,Mexican Restaurant,American Restaurant,Italian Restaurant,Burger Joint,Breakfast Spot,BBQ Joint,Sushi Restaurant,Mediterranean Restaurant,Seafood Restaurant,Korean Restaurant,Japanese Restaurant,Café,Fried Chicken Joint,Gastropub,Vegetarian / Vegan Restaurant,Greek Restaurant,Chinese Restaurant,Burrito Place,Deli / Bodega,Fast Food Restaurant,Diner,Middle Eastern Restaurant,South American Restaurant
104,"Glendale, Arizona",Pizza Place,Burger Joint,Italian Restaurant,Mexican Restaurant,American Restaurant,Sandwich Place,Café,Breakfast Spot,Greek Restaurant,New American Restaurant,Mediterranean Restaurant,Sushi Restaurant,Steakhouse,Vegetarian / Vegan Restaurant,Chinese Restaurant,Thai Restaurant,Southern / Soul Food Restaurant,Asian Restaurant,Seafood Restaurant,Taco Place,Gastropub,Latin American Restaurant,Donut Shop,Peruvian Restaurant,Gluten-free Restaurant
105,"Glendale, California",Sandwich Place,Bakery,Sushi Restaurant,Italian Restaurant,Taco Place,Café,Pizza Place,Korean Restaurant,Mediterranean Restaurant,Japanese Restaurant,New American Restaurant,American Restaurant,Mexican Restaurant,Asian Restaurant,Deli / Bodega,French Restaurant,Food Truck,Burger Joint,Vegetarian / Vegan Restaurant,Middle Eastern Restaurant,Seafood Restaurant,Latin American Restaurant,Salad Place,Filipino Restaurant,Falafel Restaurant
106,"Grand Prairie, Texas",Seafood Restaurant,Mexican Restaurant,American Restaurant,Pizza Place,Burger Joint,Steakhouse,New American Restaurant,Fast Food Restaurant,Greek Restaurant,Fried Chicken Joint,BBQ Joint,Taco Place,Salad Place,Café,Sandwich Place,Japanese Restaurant,Tex-Mex Restaurant,Latin American Restaurant,Italian Restaurant,Korean Restaurant,Mediterranean Restaurant,Deli / Bodega,Diner,Vietnamese Restaurant,Thai Restaurant
107,"Grand Rapids, Michigan",Mexican Restaurant,American Restaurant,Pizza Place,Café,Bakery,Donut Shop,Sandwich Place,Breakfast Spot,New American Restaurant,Steakhouse,Sushi Restaurant,Burger Joint,Italian Restaurant,Indian Restaurant,Hot Dog Joint,Seafood Restaurant,Mediterranean Restaurant,Thai Restaurant,BBQ Joint,Deli / Bodega,Gastropub,Chinese Restaurant,Diner,Greek Restaurant,Irish Pub
108,"Greeley, Colorado",Pizza Place,Mexican Restaurant,Burger Joint,American Restaurant,Fast Food Restaurant,Sandwich Place,Chinese Restaurant,Seafood Restaurant,Noodle House,Breakfast Spot,Vietnamese Restaurant,Steakhouse,Sushi Restaurant,Cajun / Creole Restaurant,Café,Asian Restaurant,Wings Joint,Deli / Bodega,Japanese Restaurant,Bagel Shop,Thai Restaurant,BBQ Joint,Middle Eastern Restaurant,New American Restaurant,Mediterranean Restaurant
109,"Green Bay, Wisconsin",American Restaurant,Pizza Place,Mexican Restaurant,Sandwich Place,Burger Joint,Bakery,Café,Steakhouse,Chinese Restaurant,Breakfast Spot,Sushi Restaurant,Italian Restaurant,Wings Joint,Bagel Shop,Noodle House,Seafood Restaurant,New American Restaurant,Greek Restaurant,Tex-Mex Restaurant,Asian Restaurant,Vegetarian / Vegan Restaurant,Burrito Place,Indian Restaurant,Japanese Restaurant,German Restaurant
110,"Greensboro, North Carolina",Pizza Place,Mexican Restaurant,American Restaurant,Burger Joint,Fast Food Restaurant,Mediterranean Restaurant,Italian Restaurant,Seafood Restaurant,Steakhouse,Vietnamese Restaurant,Southern / Soul Food Restaurant,Diner,Bakery,Asian Restaurant,Greek Restaurant,Donut Shop,Chinese Restaurant,Deli / Bodega,Breakfast Spot,Taco Place,Bagel Shop,BBQ Joint,Eastern European Restaurant,Gastropub,Thai Restaurant
111,"Gresham, Oregon",Pizza Place,Breakfast Spot,Food Truck,Thai Restaurant,Vegetarian / Vegan Restaurant,Vietnamese Restaurant,French Restaurant,Bakery,Mexican Restaurant,Sandwich Place,American Restaurant,Italian Restaurant,Burger Joint,Southern / Soul Food Restaurant,Wings Joint,Mediterranean Restaurant,Diner,Café,Latin American Restaurant,Sushi Restaurant,Indian Restaurant,Ramen Restaurant,Korean Restaurant,Middle Eastern Restaurant,Fast Food Restaurant
112,"Hampton, Virginia",American Restaurant,Pizza Place,Sandwich Place,Seafood Restaurant,Donut Shop,Mexican Restaurant,Breakfast Spot,Bakery,Burger Joint,Steakhouse,Fast Food Restaurant,Italian Restaurant,BBQ Joint,Café,Sushi Restaurant,Deli / Bodega,Chinese Restaurant,Bistro,Diner,Vietnamese Restaurant,Asian Restaurant,Korean Restaurant,Japanese Restaurant,Bagel Shop,Indian Restaurant
113,"Hartford, Connecticut",American Restaurant,Pizza Place,Bakery,Italian Restaurant,Burger Joint,Mexican Restaurant,Sushi Restaurant,BBQ Joint,Steakhouse,Asian Restaurant,Hot Dog Joint,Chinese Restaurant,Breakfast Spot,Vietnamese Restaurant,Café,Seafood Restaurant,Diner,Thai Restaurant,Bagel Shop,Comfort Food Restaurant,Deli / Bodega,Middle Eastern Restaurant,Latin American Restaurant,Fast Food Restaurant,Sandwich Place
114,"Hayward, California",Pizza Place,Café,Bakery,American Restaurant,Mexican Restaurant,Breakfast Spot,Italian Restaurant,Vietnamese Restaurant,Burger Joint,Seafood Restaurant,Food Truck,Latin American Restaurant,Thai Restaurant,Mediterranean Restaurant,New American Restaurant,Japanese Restaurant,Indian Restaurant,Greek Restaurant,Sandwich Place,Deli / Bodega,Fast Food Restaurant,Burrito Place,Russian Restaurant,Burmese Restaurant,Ethiopian Restaurant
115,"Henderson, Nevada",Steakhouse,Mexican Restaurant,Sushi Restaurant,American Restaurant,Burger Joint,Pizza Place,Breakfast Spot,Italian Restaurant,Japanese Restaurant,Café,Diner,Fast Food Restaurant,Sandwich Place,Asian Restaurant,French Restaurant,Fried Chicken Joint,Brazilian Restaurant,Korean Restaurant,BBQ Joint,New American Restaurant,Taco Place,Donut Shop,Seafood Restaurant,Deli / Bodega,Hawaiian Restaurant
116,"Hialeah, Florida",Italian Restaurant,Pizza Place,American Restaurant,Mexican Restaurant,Café,Bakery,Seafood Restaurant,Sandwich Place,Japanese Restaurant,Spanish Restaurant,Cuban Restaurant,Fast Food Restaurant,Argentinian Restaurant,Gastropub,French Restaurant,Food Truck,Steakhouse,Asian Restaurant,Burger Joint,Donut Shop,Food,Portuguese Restaurant,Mediterranean Restaurant,Deli / Bodega,Peruvian Restaurant
117,"High Point, North Carolina",Pizza Place,Mexican Restaurant,Burger Joint,Fast Food Restaurant,American Restaurant,Bakery,Seafood Restaurant,Italian Restaurant,Donut Shop,Mediterranean Restaurant,Southern / Soul Food Restaurant,Steakhouse,Vietnamese Restaurant,Asian Restaurant,Greek Restaurant,Diner,Deli / Bodega,Chinese Restaurant,Thai Restaurant,Bagel Shop,BBQ Joint,Eastern European Restaurant,Sandwich Place,Ethiopian Restaurant,French Restaurant
118,"Hillsboro, Oregon",Sandwich Place,Pizza Place,Bakery,Mexican Restaurant,Food Truck,Vietnamese Restaurant,Sushi Restaurant,Vegetarian / Vegan Restaurant,Thai Restaurant,Café,Korean Restaurant,Diner,American Restaurant,Japanese Restaurant,Italian Restaurant,Donut Shop,Modern European Restaurant,Seafood Restaurant,German Restaurant,Asian Restaurant,French Restaurant,Spanish Restaurant,Israeli Restaurant,Fried Chicken Joint,Greek Restaurant
